timestamp;vin;isOnline;signature;acc_x;acc_y;acc_z;pos_long;pos_lat;process;01 10_fluxo de massa de ar (MAF)_g/s;01 0D_velocidade_Km/h;01 0B_pressao absoluta do coletor de admissao_kPa;01 0F_temperatura do ar de entrada_Â°C;01 0F_Temperatura do liquido de arrefecimento_Â°C;01 2F_nivel de combustivel_%;01 0C_rotacao_RPM
17:13:37.387;1GBJC34R9XF017297;false;3045022100cde12db51af0bb8fb0104d091155d5802bb300417b8d17ef4dc560a35ebfde240220078a51888f08fd2dcb6dbf04c97d9ad27afeb703ae81921f383b1a743f16f6be;;;;-44.4611;-23.0061;false;601;112;86;69;98;91.22597752759839;9601.184970493574
17:13:38.387;1GBJC34R9XF017297;false;304402206b802013b2699af307e1cbb9cd593d930889a32be2e9a676a905d10a48892af702200e3cb7b33accfcb880ba03a03f2c9ea6c47ba3ae76c9e50b2bb5b9f3e9dfa03e;;;;-44.4611;-23.0061;false;596;44;67;37;94;21.483848350507003;8240.94477862916
17:13:39.388;1GBJC34R9XF017297;false;304502205717e2ca3532abb6f45fb02baea23471f674f440cb3e6a3e6a9aee0a73fb01e502210097e8439f27d97a2d9e6f6c784768126dad70b2a9c102761d0fdf166543b9ff2e;;;;-44.4613;-23.0062;false;642;39;39;69;103;87.02271660044899;1833.0017842289433
17:13:40.388;1GBJC34R9XF017297;false;3044022054f5d27006fb837fd1fbfb3fe1803cc6861e5833713abc3505ee24da05b8e597022058a134508e0c0d0322bc8d04a4bdeb67db102ff86b61341c2e4417f3a2bc9dcd;;;;-44.4613;-23.0062;false;690;44;75;56;92;33.12996639290553;6054.860303753004
17:13:41.388;1GBJC34R9XF017297;false;3045022021c964c8563241082d285d6097e7c2c2bc3cafbfa3bac2d2bf48fdd1d03caefa0221008cf0a20afcd058f98b7b0da9810d0568858a4dd030ff20ac40fec52cd16cf182;;;;-44.4613;-23.0062;false;922;46;70;43;90;97.23150091645732;4480.92490640205
17:13:42.388;1GBJC34R9XF017297;false;30450220436a4bfc7209259859f3dcccc6dc407dd0bb96c9b116dd6d52efc752321c6e92022100d546532c84a3ce53757e2ae4d94d3898e518413d286eb0a7d58ba14702a95095;;;;-44.4615;-23.0063;false;995;62;49;68;100;38.96165328372993;1638.7420028939885
17:13:43.389;1GBJC34R9XF017297;false;304402205138523e3b50244a0351ca12fff76aeebb4b2e37ef74c0ad7a489c500afa014002205ee61aec0cd94df11fdfda7dace69bfb7f1d7459ba0f750c246e618bc5076c14;;;;-44.4615;-23.0063;false;794;71;54;36;103;95.83727845740117;8584.444371622973
17:13:44.388;1GBJC34R9XF017297;false;3045022024a294a2ce3017d4f309321776a7b8164779532e367eb596ecdb42dc7f92d90302210093a20350693b68729e5a63a472c426b2785df6a017dfdb6eec8ef452a66d6f8c;;;;-44.4615;-23.0063;false;533;100;95;35;101;26.102279200774362;2859.4109297097802
17:13:45.389;1GBJC34R9XF017297;false;3045022100f71d3bc2ed6588b0e07c70cb8b6b6506539eb49260a9b1265f96518cf92d10b602207aa722a6507f262cff38447817bdd0f8ce9c7a8acdf68f12c2bd5d22664599dc;;;;-44.4617;-23.0064;false;652;50;26;31;92;56.5751930891644;2349.2610699426614
17:13:46.388;1GBJC34R9XF017297;false;304402207d8ec115d611737b3ca8843f3cff8cef2073f4d22add513290fe1fa8868e9f8202201a8ad26550d813766acb46690b4a655320b827182b113b5fcffeb62e195087a9;;;;-44.4617;-23.0064;false;584;77;33;42;92;73.39530269473073;7524.774548553366
17:13:47.393;1GBJC34R9XF017297;false;30450220040baeb8212194adc1b3b1d814ba3aec8648c9d8d92de6483fede7a05db16910022100a667fcf3968160f6ecd8441e42b290c595aaa50670256594bc581bf7bcc775bc;;;;-44.4617;-23.0064;false;965;41;61;47;97;41.75908760078752;6908.173368449885
17:13:48.387;1GBJC34R9XF017297;false;3046022100b8ee7bc392f6d1b5f7d519089fef61b9af062b3489f71be615d5140ff7e2ac77022100bdf6b50c0c9006502db50e86c7648423739f75865cfaba17505be188b70576e2;;;;-44.4618;-23.0064;false;748;44;62;59;100;78.83399589641132;5344.957392477365
17:13:49.393;1GBJC34R9XF017297;false;304502202861835e0273eefa88b63dc805fa7e1e9a78aeadefd1af9e9cc69748c512584e022100cc90134cd19fe7d117d72d88281d834fb36a592d231d533fbb21bfb01294024c;;;;-44.4618;-23.0064;false;464;72;27;39;92;18.444868279811963;5834.783168873319
