t;x;y;z;a
1607131336799025;1.1365907;2.349752;9.987641;3
1607131339238608;0.51445687;1.835295;9.827323;3
1607131341678192;-0.1268196;2.1008983;9.305687;3
1607131344117775;0.22013968;2.7948167;8.922835;3
1607131346557358;0.8997013;2.5459633;8.812766;3
1607131348996890;0.72741807;1.5529419;8.781659;3
1607131351436473;0.31585258;1.6079768;8.669196;3
1607131353876056;1.1030912;2.6632116;8.71466;3
1607131356315640;2.2612174;2.6129622;9.032906;3
1607131358755223;2.199004;1.6677973;9.193225;3
1607131361194806;2.1343977;1.8400806;9.111869;3
1607131363634390;3.3762727;2.321038;9.195618;3
1607131366073973;3.9744785;1.3040884;9.341579;3
1607131368513504;3.1609187;0.8925229;9.276974;3
1607131370953088;3.4839497;2.0458634;9.4636135;3
1607131373392671;4.24726;1.9381863;10.090533;3
1607131375832254;3.0987053;1.1485549;10.21496;3
1607131378271838;2.455036;2.0721843;9.9038925;3
1607131380711421;3.1728828;2.1487548;10.01157;3
1607131383151004;2.1104696;0.971486;9.911072;3
1607131385590536;1.1078769;1.8281165;9.437292;3
1607131388030119;1.9357935;2.210968;9.762716;3
1607131390469702;1.0408778;1.2777673;10.035499;3
1607131392909286;0.1268196;2.416751;9.513863;3
1607131395348869;1.1796615;2.5722845;9.734002;3
1607131397788452;0.22971097;1.5002998;9.729217;3
1607131400228036;-0.26799613;2.617748;8.872586;3
1607131402667619;0.9451649;2.1702902;9.202796;3
1607131405107150;-0.17467605;1.6175481;9.080762;3
1607131407546733;0.11006984;3.1489546;8.5016985;3
1607131409986317;1.174876;2.2707887;9.415757;3
1607131412425900;0.12921242;2.656033;9.025727;3
1607131414865483;1.4691931;3.4025939;8.752945;3
1607131417305067;1.8879371;1.9334008;9.449257;3
1607131419744650;1.4931214;2.9575288;8.260024;3
1607131422184233;3.2350962;2.1822543;8.733803;3
1607131424623765;2.7421749;1.7850457;9.01137;3
1607131427063348;3.3667014;2.8187451;8.281559;3
1607131429502931;4.141976;1.4620147;9.834501;3
1607131431942515;3.347559;2.7445676;9.183653;3
1607131434382098;4.3118663;1.9405792;9.571291;3
1607131436821681;3.6107693;1.6175481;10.092926;3
1607131439261265;3.3714871;2.1104696;8.903693;3
1607131441700848;3.5150564;0.66999036;10.533205;3
1607131444140379;2.4933212;2.2636101;9.676575;3
1607131446579963;2.5938199;1.2849457;10.561919;3
1607131449019546;2.0482562;2.4382863;11.236695;3
1607131451459129;1.5960127;2.2277179;10.246066;3
1607131453898713;1.6079768;1.7802601;11.547762;3
1607131456338296;1.2418749;2.5052853;9.889536;3
1607131458777879;1.0767702;1.146162;10.554741;3
1607131461217411;1.3160524;2.7421749;9.894321;3
1607131463656994;0.91166544;1.4548361;9.74836;3
1607131466096577;1.4763715;3.050849;10.066605;3
1607131468536161;1.2346965;2.024328;9.097511;3
1607131470975744;1.6606189;2.6009982;9.552148;3
1607131473415327;1.8592232;1.969293;8.202596;3
1607131475854911;1.8424734;1.6175481;8.700303;3
1607131478294494;2.5292134;1.9477576;7.812566;3
1607131480734025;2.1343977;1.294517;8.449057;3
1607131483173608;3.0269206;2.4909284;8.149954;3
1607131485613192;2.4885356;1.3375878;8.822337;3
1607131488052775;3.2973096;2.6512475;8.678768;3
1607131490492358;2.754139;0.94755775;9.052048;3
1607131492931942;3.3786657;2.251646;8.891729;3
1607131495371525;2.8378878;0.5240282;9.018549;3
1607131497811056;3.3667014;2.0554347;9.379865;3
1607131500250640;2.658426;0.58624154;9.540184;3
1607131502690223;3.1058838;2.2492533;10.150353;3
1607131505129806;2.4358935;0.86859465;9.961321;3
1607131507569390;2.7397819;2.268396;10.289138;3
1607131510008973;2.2325034;0.8207382;9.762716;3
1607131512448556;2.376073;2.1415763;10.030712;3
1607131514888140;2.1535404;1.1844472;9.561719;3
1607131517327671;2.0386848;2.4454648;9.973285;3
1607131519767254;2.158326;2.1894326;9.336794;3
1607131522206838;1.9190438;2.644069;9.846465;3
1607131524646421;2.309074;2.7637103;8.7673025;3
1607131527086004;1.9716859;1.9860427;9.059227;3
1607131529525588;2.4837499;2.9096723;7.9154572;3
1607131531965171;2.2779672;1.4715859;8.293523;3
1607131534404754;2.6273193;3.1058838;7.9274216;3
1607131536844286;2.725425;1.9310079;8.142776;3
1607131539283869;2.7326035;2.9096723;8.7266245;3
1607131541723452;3.0963125;2.6416762;8.29113;3
1607131544163036;2.9958138;1.8903298;9.5353985;3
1607131546602619;3.1345978;2.7589245;8.784052;3
1607131549042202;3.4097722;1.0743774;9.789038;3
1607131551481786;3.0077782;2.0195422;9.734002;3
1607131553921317;3.438486;1.5457634;9.633504;3
1607131556360900;3.2566316;1.105484;11.002198;3
